,PredictorName,Violin Plot,Histogram,RegressionPlot,p-value,t-score,Importance,MWR_Unweighted,MWR_Weighted,MWR_plot_link
9,60_days_home_runs,continous_HomeTeamWins_categorical_60_days_home_runs_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_runs_dist_plot.html,60_days_home_runs_HomeTeamWins_logistic_regression_plot.html,2.950556e-02,2.176665,0.04117371378391243,0.0005064481434755624,0.00026748771559436025,60_days_home_runs_difference_mean_plot.html
5,60_days_home_strikeout,continous_HomeTeamWins_categorical_60_days_home_strikeout_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_strikeout_dist_plot.html,60_days_home_strikeout_HomeTeamWins_logistic_regression_plot.html,2.341846e-02,2.266538,0.039762143380244114,0.0004549598975267731,0.0004112683019998859,60_days_home_strikeout_difference_mean_plot.html
10,60_days_away_runs,continous_HomeTeamWins_categorical_60_days_away_runs_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_runs_dist_plot.html,60_days_away_runs_HomeTeamWins_logistic_regression_plot.html,1.851952e-01,-1.324927,0.03898311808894176,0.00020849427848682105,0.00011664919675987533,60_days_away_runs_difference_mean_plot.html
6,60_days_away_strikeout,continous_HomeTeamWins_categorical_60_days_away_strikeout_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_strikeout_dist_plot.html,60_days_away_strikeout_HomeTeamWins_logistic_regression_plot.html,4.376690e-03,-2.849653,0.03787504986533119,0.0004783819435557682,0.00030286461788483473,60_days_away_strikeout_difference_mean_plot.html
26,60_days_away_double,continous_HomeTeamWins_categorical_60_days_away_double_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_double_dist_plot.html,60_days_away_double_HomeTeamWins_logistic_regression_plot.html,9.096715e-02,1.690318,0.03690047957950745,0.0003569095481013074,0.00012047173438502287,60_days_away_double_difference_mean_plot.html
21,60_days_home_SF,continous_HomeTeamWins_categorical_60_days_home_SF_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_SF_dist_plot.html,60_days_home_SF_HomeTeamWins_logistic_regression_plot.html,2.511100e-05,-4.2138,0.03606243315982257,0.0019104150349659704,0.000585067454698535,60_days_home_SF_difference_mean_plot.html
7,60_days_home_field_error,continous_HomeTeamWins_categorical_60_days_home_field_error_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_field_error_dist_plot.html,60_days_home_field_error_HomeTeamWins_logistic_regression_plot.html,2.987774e-02,-2.171707,0.035585889959723255,0.00038704916415105976,0.00017475763835302576,60_days_home_field_error_difference_mean_plot.html
27,60_days_home_home_run,continous_HomeTeamWins_categorical_60_days_home_home_run_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_home_run_dist_plot.html,60_days_home_home_run_HomeTeamWins_logistic_regression_plot.html,9.375909e-01,0.078298,0.03441227542465955,0.00026937442743238946,0.00011550777225671396,60_days_home_home_run_difference_mean_plot.html
11,60_days_home_walk,continous_HomeTeamWins_categorical_60_days_home_walk_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_walk_dist_plot.html,60_days_home_walk_HomeTeamWins_logistic_regression_plot.html,8.971328e-02,-1.696912,0.03421167087937765,0.00013072788584654415,8.878840715148949e-05,60_days_home_walk_difference_mean_plot.html
25,60_days_home_double,continous_HomeTeamWins_categorical_60_days_home_double_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_double_dist_plot.html,60_days_home_double_HomeTeamWins_logistic_regression_plot.html,2.787475e-01,-1.083137,0.03413475234134127,0.0008809637344692414,0.00036659832134768,60_days_home_double_difference_mean_plot.html
20,60_days_away_hit_by_pitch,continous_HomeTeamWins_categorical_60_days_away_hit_by_pitch_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_hit_by_pitch_dist_plot.html,60_days_away_hit_by_pitch_HomeTeamWins_logistic_regression_plot.html,2.187961e-01,-1.229736,0.03371723525917027,0.0002702479373302111,7.697212532953818e-05,60_days_away_hit_by_pitch_difference_mean_plot.html
19,60_days_home_hit_by_pitch,continous_HomeTeamWins_categorical_60_days_home_hit_by_pitch_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_hit_by_pitch_dist_plot.html,60_days_home_hit_by_pitch_HomeTeamWins_logistic_regression_plot.html,2.659344e-01,-1.112474,0.03364088396706987,0.00019084361601926604,3.55778598280394e-05,60_days_home_hit_by_pitch_difference_mean_plot.html
12,60_days_away_walk,continous_HomeTeamWins_categorical_60_days_away_walk_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_walk_dist_plot.html,60_days_away_walk_HomeTeamWins_logistic_regression_plot.html,1.860194e-01,1.322447,0.03358070811215136,0.0005269657560125166,0.00027620785847076355,60_days_away_walk_difference_mean_plot.html
28,60_days_away_home_run,continous_HomeTeamWins_categorical_60_days_away_home_run_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_home_run_dist_plot.html,60_days_away_home_run_HomeTeamWins_logistic_regression_plot.html,1.934026e-01,1.300579,0.0333471367896742,0.0004166976650269431,0.00024168066201774645,60_days_away_home_run_difference_mean_plot.html
8,60_days_away_field_error,continous_HomeTeamWins_categorical_60_days_away_field_error_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_field_error_dist_plot.html,60_days_away_field_error_HomeTeamWins_logistic_regression_plot.html,6.877125e-01,-0.401961,0.03293140765390075,9.073748024162312e-05,7.381497328529148e-05,60_days_away_field_error_difference_mean_plot.html
18,60_days_away_triple,continous_HomeTeamWins_categorical_60_days_away_triple_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_triple_dist_plot.html,60_days_away_triple_HomeTeamWins_logistic_regression_plot.html,8.114523e-01,-0.238553,0.03275606362703238,0.0006698058800660979,0.00020938745104510622,60_days_away_triple_difference_mean_plot.html
1,60_days_away_atBat,continous_HomeTeamWins_categorical_60_days_away_atBat_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_atBat_dist_plot.html,60_days_away_atBat_HomeTeamWins_logistic_regression_plot.html,4.091328e-01,0.825421,0.032333589688943815,0.0003932589168229504,0.00021886454082523446,60_days_away_atBat_difference_mean_plot.html
22,60_days_away_SF,continous_HomeTeamWins_categorical_60_days_away_SF_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_SF_dist_plot.html,60_days_away_SF_HomeTeamWins_logistic_regression_plot.html,8.605521e-02,1.716584,0.032272936833032166,0.0005257737827957555,0.0003338757170670887,60_days_away_SF_difference_mean_plot.html
15,60_days_home_PA,continous_HomeTeamWins_categorical_60_days_home_PA_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_PA_dist_plot.html,60_days_home_PA_HomeTeamWins_logistic_regression_plot.html,2.288049e-02,-2.275424,0.032117873880367694,0.0005651993549040715,0.0003900962536503326,60_days_home_PA_difference_mean_plot.html
16,60_days_away_PA,continous_HomeTeamWins_categorical_60_days_away_PA_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_PA_dist_plot.html,60_days_away_PA_HomeTeamWins_logistic_regression_plot.html,7.780272e-02,1.76358,0.03189706372343607,0.0004922470314984961,0.000304847897063451,60_days_away_PA_difference_mean_plot.html
17,60_days_home_triple,continous_HomeTeamWins_categorical_60_days_home_triple_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_triple_dist_plot.html,60_days_home_triple_HomeTeamWins_logistic_regression_plot.html,6.065794e-02,-1.875981,0.031078921470485348,0.0011540315600911332,0.00023186960767628635,60_days_home_triple_difference_mean_plot.html
30,60_days_away_TB,continous_HomeTeamWins_categorical_60_days_away_TB_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_TB_dist_plot.html,60_days_away_TB_HomeTeamWins_logistic_regression_plot.html,9.303018e-03,2.600713,0.029995589994545952,0.0005337218145157533,0.00033155817106763084,60_days_away_TB_difference_mean_plot.html
29,60_days_home_TB,continous_HomeTeamWins_categorical_60_days_home_TB_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_TB_dist_plot.html,60_days_home_TB_HomeTeamWins_logistic_regression_plot.html,1.209114e-01,-1.55096,0.02891712125862665,0.0005094059582581815,0.0003487693407378944,60_days_home_TB_difference_mean_plot.html
23,60_days_home_OBP,continous_HomeTeamWins_categorical_60_days_home_OBP_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_OBP_dist_plot.html,60_days_home_OBP_HomeTeamWins_logistic_regression_plot.html,3.210105e-02,-2.14315,0.02862262096071865,0.0003073962343447047,0.00030683409884184245,60_days_home_OBP_difference_mean_plot.html
24,60_days_away_OBP,continous_HomeTeamWins_categorical_60_days_away_OBP_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_OBP_dist_plot.html,60_days_away_OBP_HomeTeamWins_logistic_regression_plot.html,6.282387e-04,3.419121,0.028105231114485076,0.00028523769343654764,0.00028532975754618417,60_days_away_OBP_difference_mean_plot.html
14,60_days_away_toBase,continous_HomeTeamWins_categorical_60_days_away_toBase_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_toBase_dist_plot.html,60_days_away_toBase_HomeTeamWins_logistic_regression_plot.html,3.272231e-03,2.940935,0.027906223304466432,0.00047355921201771585,0.0003158947628587144,60_days_away_toBase_difference_mean_plot.html
13,60_days_home_toBase,continous_HomeTeamWins_categorical_60_days_home_toBase_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_toBase_dist_plot.html,60_days_home_toBase_HomeTeamWins_logistic_regression_plot.html,2.000453e-03,-3.090165,0.027167517150333338,0.0006274774565944481,0.000432933153454194,60_days_home_toBase_difference_mean_plot.html
4,60_days_away_BA,continous_HomeTeamWins_categorical_60_days_away_BA_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_BA_dist_plot.html,60_days_away_BA_HomeTeamWins_logistic_regression_plot.html,2.844112e-04,3.6291,0.02614203176433647,0.0003568675429671083,0.0003528938421100165,60_days_away_BA_difference_mean_plot.html
3,60_days_home_BA,continous_HomeTeamWins_categorical_60_days_home_BA_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_BA_dist_plot.html,60_days_home_BA_HomeTeamWins_logistic_regression_plot.html,2.389094e-02,-2.258879,0.026124466085753178,0.0003812827443111349,0.0003796415404270879,60_days_home_BA_difference_mean_plot.html
2,60_days_away_hit,continous_HomeTeamWins_categorical_60_days_away_hit_violin_plot.html,continous_HomeTeamWins_categorical_60_days_away_hit_dist_plot.html,60_days_away_hit_HomeTeamWins_logistic_regression_plot.html,2.545162e-03,3.01792,0.024190441261025757,0.0007766391963406544,0.000332698225806097,60_days_away_hit_difference_mean_plot.html
0,60_days_home_hit,continous_HomeTeamWins_categorical_60_days_home_hit_violin_plot.html,continous_HomeTeamWins_categorical_60_days_home_hit_dist_plot.html,60_days_home_hit_HomeTeamWins_logistic_regression_plot.html,4.380598e-02,-2.015943,0.024053409637583484,0.0005393545397006977,0.00035597400787612,60_days_home_hit_difference_mean_plot.html
